Saraksts,Partija,Numurs,Vards,Riga,Vidzeme,Latgale,Kurzeme,Zemgale
4,"Partija ""VIENOTĪBA""",67,Ināra Mukāne,,,14,,
4,"Partija ""VIENOTĪBA""",68,Eleonora Obrumāne,,,18,,
4,"Partija ""VIENOTĪBA""",69,Jānis Ozoliņš,,,,,6
4,"Partija ""VIENOTĪBA""",70,Guntis Pirvits,,,,16,
4,"Partija ""VIENOTĪBA""",71,Anna Plauča,29,,,,
4,"Partija ""VIENOTĪBA""",72,Valdis Plaudis,,,,15,
4,"Partija ""VIENOTĪBA""",73,Līvija Plavinska,,,5,,
4,"Partija ""VIENOTĪBA""",74,Elīna Pļaviņa,,,,,17
4,"Partija ""VIENOTĪBA""",75,Laimdota Podze,32,,,,
4,"Partija ""VIENOTĪBA""",76,Inga Priede,,,,,7
4,"Partija ""VIENOTĪBA""",77,Olafs Pulks,9,,,,
4,"Partija ""VIENOTĪBA""",78,Gatis Puriņš,,29,,,
4,"Partija ""VIENOTĪBA""",79,Sanita Putniņa,,,12,,
4,"Partija ""VIENOTĪBA""",80,Renārs Putniņš,12,,,,
4,"Partija ""VIENOTĪBA""",81,Romualds Ražuks,,14,,,
4,"Partija ""VIENOTĪBA""",82,Viesturs Reinfelds,,,,,11
4,"Partija ""VIENOTĪBA""",83,Jānis Reirs,,,,,1
4,"Partija ""VIENOTĪBA""",84,Edgars Rinkēvičs,1,,,,
4,"Partija ""VIENOTĪBA""",85,Armīns Robežnieks,,,,7,
4,"Partija ""VIENOTĪBA""",86,Uģis Rotbergs,11,,,,
4,"Partija ""VIENOTĪBA""",87,Gita Rūtiņa,,,,,13
4,"Partija ""VIENOTĪBA""",88,Ansis Saliņš,,,,,9
4,"Partija ""VIENOTĪBA""",89,Evika Siliņa,,,,,10
4,"Partija ""VIENOTĪBA""",90,Aivars Siliņš,26,,,,
4,"Partija ""VIENOTĪBA""",91,Edvards Smiltēns,,9,,,
4,"Partija ""VIENOTĪBA""",92,Vasilijs Smuļs,,,13,,
4,"Partija ""VIENOTĪBA""",93,Kintija Sparāne,,20,,,
4,"Partija ""VIENOTĪBA""",94,Veiko Spolītis,14,,,,
4,"Partija ""VIENOTĪBA""",95,Viktors Stikuts,,,6,,
4,"Partija ""VIENOTĪBA""",96,Guntis Stirna,35,,,,
4,"Partija ""VIENOTĪBA""",97,Laimdota Straujuma,,1,,,
4,"Partija ""VIENOTĪBA""",98,Kārlis Strēlis,15,,,,
4,"Partija ""VIENOTĪBA""",99,Ainārs Sviklis,,,,,15
4,"Partija ""VIENOTĪBA""",100,Kārlis Šadurskis,,5,,,
4,"Partija ""VIENOTĪBA""",101,Arnis Šķēls,,23,,,
4,"Partija ""VIENOTĪBA""",102,Juris Šulcs,,,,,2
4,"Partija ""VIENOTĪBA""",103,Vija Tirzmale,28,,,,
4,"Partija ""VIENOTĪBA""",104,Normunds Tropiņš,,,,5,
4,"Partija ""VIENOTĪBA""",105,Andris Ulāns,,,,,16
4,"Partija ""VIENOTĪBA""",106,Maija Upeniece,,,9,,
4,"Partija ""VIENOTĪBA""",107,Jānis Upenieks,,16,,,
