Saraksts,Partija,Numurs,Vards,Gender,Apgabals,Rangs
4,"Partija ""VIENOTĪBA""",3,Arvils Ašeradens,Male,Vidzeme,8
4,"Partija ""VIENOTĪBA""",4,Solvita Āboltiņa,Female,Kurzeme,1
4,"Partija ""VIENOTĪBA""",5,Alis Balbārzdis,Male,Vidzeme,25
4,"Partija ""VIENOTĪBA""",6,Edvīns Bartkevičs,Male,Vidzeme,10
4,"Partija ""VIENOTĪBA""",7,Lita Beire,Female,Riga,21
4,"Partija ""VIENOTĪBA""",8,Zigfrīds Berezovskis,Male,Riga,30
4,"Partija ""VIENOTĪBA""",9,Aivars Bernāns,Male,Latgale,15
4,"Partija ""VIENOTĪBA""",10,Iveta Blaua,Female,Vidzeme,19
4,"Partija ""VIENOTĪBA""",11,Inesis Boķis,Male,Vidzeme,2
4,"Partija ""VIENOTĪBA""",12,Aivars Broks,Male,Latgale,4
4,"Partija ""VIENOTĪBA""",13,Anna Buša,Female,Riga,22
4,"Partija ""VIENOTĪBA""",14,Krišjānis Bušs,Male,Zemgale,8
4,"Partija ""VIENOTĪBA""",15,Guntis Būmeisters,Male,Kurzeme,13
4,"Partija ""VIENOTĪBA""",16,Lolita Čigāne,Female,Riga,4
4,"Partija ""VIENOTĪBA""",17,Raimonds Čudars,Male,Vidzeme,11
4,"Partija ""VIENOTĪBA""",18,Guntis Čukurs,Male,Kurzeme,14
4,"Partija ""VIENOTĪBA""",19,Ints Dālderis,Male,Kurzeme,2
4,"Partija ""VIENOTĪBA""",20,Vjačeslavs Dombrovskis,Male,Zemgale,3
4,"Partija ""VIENOTĪBA""",21,Vilnis Dragunas,Male,Kurzeme,11
4,"Partija ""VIENOTĪBA""",22,Ina Druviete,Female,Vidzeme,6
4,"Partija ""VIENOTĪBA""",23,Edgars Engīzers,Male,Riga,8
4,"Partija ""VIENOTĪBA""",24,Kārlis Eņģelis,Male,Riga,16
4,"Partija ""VIENOTĪBA""",25,Sarmīte Ēlerte,Female,Riga,10
4,"Partija ""VIENOTĪBA""",26,Renārs Freibergs,Male,Vidzeme,22
4,"Partija ""VIENOTĪBA""",27,Valdis Gavars,Male,Riga,13
4,"Partija ""VIENOTĪBA""",28,Dmitrijs Golubevs,Male,Riga,31
4,"Partija ""VIENOTĪBA""",29,Guntis Grūba,Male,Vidzeme,27
4,"Partija ""VIENOTĪBA""",30,Artis Gustovskis,Male,Kurzeme,6
4,"Partija ""VIENOTĪBA""",31,Astrīda Harju,Female,Vidzeme,17
4,"Partija ""VIENOTĪBA""",32,Bierants Ignāts,Male,Riga,27
4,"Partija ""VIENOTĪBA""",33,Edgars Ikstens,Male,Kurzeme,8
4,"Partija ""VIENOTĪBA""",34,Kārlis Irbe,Male,Riga,33
4,"Partija ""VIENOTĪBA""",35,Pauls Irbins,Male,Vidzeme,18
4,"Partija ""VIENOTĪBA""",36,Jāzeps Janiševs,Male,Vidzeme,28
4,"Partija ""VIENOTĪBA""",37,Nils Josts,Male,Riga,23
4,"Partija ""VIENOTĪBA""",38,Andrejs Judins,Male,Riga,5
4,"Partija ""VIENOTĪBA""",39,Jānis Junkurs,Male,Kurzeme,10
4,"Partija ""VIENOTĪBA""",40,Roberts Jurķis,Male,Vidzeme,21
4,"Partija ""VIENOTĪBA""",41,Inese Kalniņa,Female,Riga,19
4,"Partija ""VIENOTĪBA""",42,Zanda Kalniņa-Lukaševica,Female,Vidzeme,4
4,"Partija ""VIENOTĪBA""",43,Ojārs Ēriks Kalniņš,Male,Riga,2
4,"Partija ""VIENOTĪBA""",44,Dace Kļaviņa,Female,Vidzeme,26
4,"Partija ""VIENOTĪBA""",45,Evija Kolberga,Female,Riga,20
4,"Partija ""VIENOTĪBA""",46,Uldis Kolužs,Male,Zemgale,12
4,"Partija ""VIENOTĪBA""",47,Karina Korna,Female,Kurzeme,4
4,"Partija ""VIENOTĪBA""",48,Rihards Kozlovskis,Male,Riga,6
4,"Partija ""VIENOTĪBA""",49,Jānis Kupris,Male,Latgale,16
4,"Partija ""VIENOTĪBA""",50,Janīna Kursīte,Female,Latgale,8
4,"Partija ""VIENOTĪBA""",51,Sarmīte Ķikuste,Female,Latgale,7
4,"Partija ""VIENOTĪBA""",52,Vilnis Ķirsis,Male,Vidzeme,12
4,"Partija ""VIENOTĪBA""",53,Madars Lasmanis,Male,Zemgale,14
4,"Partija ""VIENOTĪBA""",54,Ainars Latkovskis,Male,Vidzeme,3
4,"Partija ""VIENOTĪBA""",55,Jānis Lazdāns,Male,Riga,24
4,"Partija ""VIENOTĪBA""",56,Atis Lejiņš,Male,Zemgale,5
4,"Partija ""VIENOTĪBA""",57,Liene Liepiņa,Female,Vidzeme,15
4,"Partija ""VIENOTĪBA""",58,Gatis Liepiņš,Male,Riga,18
4,"Partija ""VIENOTĪBA""",59,Krišjānis Liepiņš,Male,Riga,25
4,"Partija ""VIENOTĪBA""",60,Inese Lībiņa-Egnere,Female,Kurzeme,3
4,"Partija ""VIENOTĪBA""",61,Ainars Lodziņš,Male,Riga,34
4,"Partija ""VIENOTĪBA""",62,Aleksejs Loskutovs,Male,Riga,3
4,"Partija ""VIENOTĪBA""",63,Valērijs Makarevičs,Male,Latgale,10
4,"Partija ""VIENOTĪBA""",64,Anrijs Matīss,Male,Latgale,1
4,"Partija ""VIENOTĪBA""",65,Linda Medene,Female,Vidzeme,7
4,"Partija ""VIENOTĪBA""",66,Vilnis Meškinis,Male,Vidzeme,24
4,"Partija ""VIENOTĪBA""",67,Ināra Mukāne,Female,Latgale,14
4,"Partija ""VIENOTĪBA""",68,Eleonora Obrumāne,Female,Latgale,18
4,"Partija ""VIENOTĪBA""",69,Jānis Ozoliņš,Male,Zemgale,6
4,"Partija ""VIENOTĪBA""",70,Guntis Pirvits,Male,Kurzeme,16
4,"Partija ""VIENOTĪBA""",71,Anna Plauča,Female,Riga,29
4,"Partija ""VIENOTĪBA""",72,Valdis Plaudis,Male,Kurzeme,15
4,"Partija ""VIENOTĪBA""",73,Līvija Plavinska,Female,Latgale,5
4,"Partija ""VIENOTĪBA""",74,Elīna Pļaviņa,Female,Zemgale,17
4,"Partija ""VIENOTĪBA""",75,Laimdota Podze,Female,Riga,32
4,"Partija ""VIENOTĪBA""",76,Inga Priede,Female,Zemgale,7
4,"Partija ""VIENOTĪBA""",77,Olafs Pulks,Male,Riga,9
4,"Partija ""VIENOTĪBA""",78,Gatis Puriņš,Male,Vidzeme,29
4,"Partija ""VIENOTĪBA""",79,Sanita Putniņa,Female,Latgale,12
4,"Partija ""VIENOTĪBA""",80,Renārs Putniņš,Male,Riga,12
4,"Partija ""VIENOTĪBA""",81,Romualds Ražuks,Male,Vidzeme,14
4,"Partija ""VIENOTĪBA""",82,Viesturs Reinfelds,Male,Zemgale,11
4,"Partija ""VIENOTĪBA""",83,Jānis Reirs,Male,Zemgale,1
4,"Partija ""VIENOTĪBA""",84,Edgars Rinkēvičs,Male,Riga,1
4,"Partija ""VIENOTĪBA""",85,Armīns Robežnieks,Male,Kurzeme,7
4,"Partija ""VIENOTĪBA""",86,Uģis Rotbergs,Male,Riga,11
4,"Partija ""VIENOTĪBA""",87,Gita Rūtiņa,Female,Zemgale,13
4,"Partija ""VIENOTĪBA""",88,Ansis Saliņš,Male,Zemgale,9
4,"Partija ""VIENOTĪBA""",89,Evika Siliņa,Female,Zemgale,10
4,"Partija ""VIENOTĪBA""",90,Aivars Siliņš,Male,Riga,26
4,"Partija ""VIENOTĪBA""",91,Edvards Smiltēns,Male,Vidzeme,9
4,"Partija ""VIENOTĪBA""",92,Vasilijs Smuļs,Male,Latgale,13
4,"Partija ""VIENOTĪBA""",93,Kintija Sparāne,Female,Vidzeme,20
4,"Partija ""VIENOTĪBA""",94,Veiko Spolītis,Male,Riga,14
4,"Partija ""VIENOTĪBA""",95,Viktors Stikuts,Male,Latgale,6
4,"Partija ""VIENOTĪBA""",96,Guntis Stirna,Male,Riga,35
