Saraksts,Partija,Vards,Apgabals,Numurs,Gads,DarbaVieta,Amats
2,"""Latvijas Krievu savienība""",Valentīna Babaka,Kurzeme,6,1976,Labdarības un kultūras centrs FENIKS,pasākumu organizators
2,"""Latvijas Krievu savienība""",Rasma Bārbale,Rīga,35,1960,"Bērnu pirmsskolas izglītības iestāde ""Purpuri""",aukle
2,"""Latvijas Krievu savienība""",Jeļena Beskorovainaja,Zemgale,6,1963,SIA „VELEXAUTO”,Biroja administratore
2,"""Latvijas Krievu savienība""",Aleksandrs Bērziņš,Kurzeme,3,1988,Labdarības un kultūras centrs FENIKS,labdarības darbības koordinators
2,"""Latvijas Krievu savienība""",Artjoms Bobiļevs,Latgale,10,1999,Pašnodarbināta persona,kurjers
2,"""Latvijas Krievu savienība""",Anna Bondere,Vidzeme,4,1980,Vēsturiskā mantojuma fonds,Sekretāre - referente
2,"""Latvijas Krievu savienība""",Vladimirs Buzajevs,Rīga,38,1951,Latvijas cilvēktiesību komiteja,Līdzpriekšsēdētājs
2,"""Latvijas Krievu savienība""",Vinsenta Daņiļceva,Kurzeme,8,1983,Māksliniece,Māksliniece
2,"""Latvijas Krievu savienība""",Viktors Dergunovs,Rīga,29,1951,SIA „Medserviss”,Ārsts anesteziologs
2,"""Latvijas Krievu savienība""",Inna Djeri,Rīga,2,1978,Rīgas valstspilsētas pašvaldība,Domes deputāte
2,"""Latvijas Krievu savienība""",Filips Dudins,Rīga,19,1982,Biedrība Barikāžu Dalībnieku Savienība,Valdes loceklis
2,"""Latvijas Krievu savienība""",Irina Dviļa,Vidzeme,10,1984,SIA Ceļu Tīkli,biroja administratore
2,"""Latvijas Krievu savienība""",Tatjana Favorska,Rīga,20,1947,Biedrība “Krievu Sabiedrība Latvijā”,Valdes priekšsēdētāja
2,"""Latvijas Krievu savienība""",Oļegs Fjodorovs,Rīga,33,1972,"A/S ""Grindeks''",apdares darbu speciālists
2,"""Latvijas Krievu savienība""",Timurs Galihanovs,Vidzeme,17,1981,IK TIMURS GALIHANOVS,autovadītājs
2,"""Latvijas Krievu savienība""",Maksims Galkins,Zemgale,5,1978,IK Maksims Galkins,vadītājs
2,"""Latvijas Krievu savienība""",Aleksandrs Giļmans,Rīga,37,1953,Latvijas Antinacistiskā Komiteja,Valdes loceklis
2,"""Latvijas Krievu savienība""",Igors Gladkovs,Rīga,32,1997,"RKF SIA ""L.E.O""",elektromontāžas speciālista palīgs
2,"""Latvijas Krievu savienība""",Igors Glazunovs,Kurzeme,2,1941,partijas LKS Liepāja teritoriālā organizācija,projektu vadītājs
2,"""Latvijas Krievu savienība""",Mihails Gončarovs,Rīga,25,1975,Rīgas domes Īpašuma departaments,galvenais speciālists
2,"""Latvijas Krievu savienība""",Oļegs Gončarovs,Latgale,15,1965,"Rīgas pašvaldības sabiedrība ar ierobežotu atbildību ""Rīgas satiksme""",Ritošā sastāva speciālists
2,"""Latvijas Krievu savienība""",Deniss Gorba,Rīga,9,1970,"SIA “LCK juristi""",valdes loceklis
2,"""Latvijas Krievu savienība""",Normunds Grostiņš,Rīga,3,1964,Latvijas Nākotnes Pētījumu Institūts,Valdes priekšsēdētājs
2,"""Latvijas Krievu savienība""",Viktors Guščins,Zemgale,13,1958,BDR Latvijas Krievu kopiena,prezidents
2,"""Latvijas Krievu savienība""",Vladimirs Hodakovskis,Rīga,30,1940,Starptautiskā Sakaru Akadēmija,Akadēmiķis
2,"""Latvijas Krievu savienība""",Deniss Ignatjevs,Zemgale,9,1987,SIA „AVENIJA VP”,Menedžeris
2,"""Latvijas Krievu savienība""",Igors Iļjins,Latgale,9,1958,Cilvēktiesību līgu starptautiskās federācijas Latvijas Cilvēktiesību komiteja,"Daugavpils nodaļas jurists, konsultants"
2,"""Latvijas Krievu savienība""",Ņina Isačenkova,Rīga,22,1951,Kultūras centrs “Vertman”,direktore
2,"""Latvijas Krievu savienība""",Oļegs Ivanovs,Kurzeme,9,1985,Pašnodarbinātā persona,automehāniķis
2,"""Latvijas Krievu savienība""",Ilona Jakovele,Vidzeme,11,1986,ONAP Olaines sociālais dienests Higiēnas centrs,sociāla darbiniece
2,"""Latvijas Krievu savienība""",Tatjana Jemeļjanova,Rīga,31,1954,Biedrība Latvijas denacionalizēto un municipālo māju īrnieku un dzīvokļu īpašnieku asociācija,valdes locekle
2,"""Latvijas Krievu savienība""",Voldemārs Jeromans,Zemgale,11,1963,Pašnodarbināta persona,Celtnieks
2,"""Latvijas Krievu savienība""",Natālija Jolkina,Rīga,8,1947,CLSF Latvijas cilvēktiesību komiteja,Līdzpriekšsēdētāja
2,"""Latvijas Krievu savienība""",Viktors Jolkins,Rīga,21,1976,Eiropas Parlamets,Eiropas Parlamenta deputātes palīgs
2,"""Latvijas Krievu savienība""",Ņina Kaplāne,Rīga,12,1994,SIA “Biuro”,Finanšu analītiķis
2,"""Latvijas Krievu savienība""",Aleksandrs Klapins,Vidzeme,3,1965,A/S Valmieras Stikla Šķiedra,Mehatronikas inženieris
2,"""Latvijas Krievu savienība""",Pēteris Koškins,Vidzeme,13,1976,SIA Industrial Smart Solution,Celtnieks
