Saraksts,Partija,OldNumurs,Ievelets,Vards,Gender,Apgabals,Numurs,Ievelets
4,"Partija ""VIENOTĪBA""",6,false,Edvīns Bartkevičs,Male,Vidzeme,10,false
4,"Partija ""VIENOTĪBA""",7,false,Lita Beire,Female,Riga,21,false
4,"Partija ""VIENOTĪBA""",8,false,Zigfrīds Berezovskis,Male,Riga,30,false
4,"Partija ""VIENOTĪBA""",9,false,Aivars Bernāns,Male,Latgale,15,false
4,"Partija ""VIENOTĪBA""",10,false,Iveta Blaua,Female,Vidzeme,19,false
4,"Partija ""VIENOTĪBA""",11,true,Inesis Boķis,Male,Vidzeme,2,true
4,"Partija ""VIENOTĪBA""",12,false,Aivars Broks,Male,Latgale,4,false
4,"Partija ""VIENOTĪBA""",13,false,Anna Buša,Female,Riga,22,false
4,"Partija ""VIENOTĪBA""",14,false,Krišjānis Bušs,Male,Zemgale,8,false
4,"Partija ""VIENOTĪBA""",15,false,Guntis Būmeisters,Male,Kurzeme,13,false
4,"Partija ""VIENOTĪBA""",16,true,Lolita Čigāne,Female,Riga,4,true
4,"Partija ""VIENOTĪBA""",17,false,Raimonds Čudars,Male,Vidzeme,11,false
4,"Partija ""VIENOTĪBA""",18,false,Guntis Čukurs,Male,Kurzeme,14,false
4,"Partija ""VIENOTĪBA""",19,true,Ints Dālderis,Male,Kurzeme,2,true
4,"Partija ""VIENOTĪBA""",20,false,Vjačeslavs Dombrovskis,Male,Zemgale,3,false
4,"Partija ""VIENOTĪBA""",21,false,Vilnis Dragunas,Male,Kurzeme,11,false
4,"Partija ""VIENOTĪBA""",22,false,Ina Druviete,Female,Vidzeme,6,false
4,"Partija ""VIENOTĪBA""",23,false,Edgars Engīzers,Male,Riga,8,false
4,"Partija ""VIENOTĪBA""",24,false,Kārlis Eņģelis,Male,Riga,16,false
4,"Partija ""VIENOTĪBA""",25,false,Sarmīte Ēlerte,Female,Riga,10,false
4,"Partija ""VIENOTĪBA""",26,false,Renārs Freibergs,Male,Vidzeme,22,false
4,"Partija ""VIENOTĪBA""",27,false,Valdis Gavars,Male,Riga,13,false
4,"Partija ""VIENOTĪBA""",28,false,Dmitrijs Golubevs,Male,Riga,31,false
4,"Partija ""VIENOTĪBA""",29,false,Guntis Grūba,Male,Vidzeme,27,false
4,"Partija ""VIENOTĪBA""",30,false,Artis Gustovskis,Male,Kurzeme,6,false
4,"Partija ""VIENOTĪBA""",31,false,Astrīda Harju,Female,Vidzeme,17,false
4,"Partija ""VIENOTĪBA""",32,false,Bierants Ignāts,Male,Riga,27,false
4,"Partija ""VIENOTĪBA""",33,false,Edgars Ikstens,Male,Kurzeme,8,false
4,"Partija ""VIENOTĪBA""",34,false,Kārlis Irbe,Male,Riga,33,false
4,"Partija ""VIENOTĪBA""",35,false,Pauls Irbins,Male,Vidzeme,18,false
4,"Partija ""VIENOTĪBA""",36,false,Jāzeps Janiševs,Male,Vidzeme,28,false
4,"Partija ""VIENOTĪBA""",37,false,Nils Josts,Male,Riga,23,false
4,"Partija ""VIENOTĪBA""",38,true,Andrejs Judins,Male,Riga,5,true
4,"Partija ""VIENOTĪBA""",39,true,Jānis Junkurs,Male,Kurzeme,10,true
4,"Partija ""VIENOTĪBA""",40,false,Roberts Jurķis,Male,Vidzeme,21,false
4,"Partija ""VIENOTĪBA""",41,false,Inese Kalniņa,Female,Riga,19,false
4,"Partija ""VIENOTĪBA""",42,false,Zanda Kalniņa-Lukaševica,Female,Vidzeme,4,false
4,"Partija ""VIENOTĪBA""",43,true,Ojārs Ēriks Kalniņš,Male,Riga,2,true
4,"Partija ""VIENOTĪBA""",44,false,Dace Kļaviņa,Female,Vidzeme,26,false
4,"Partija ""VIENOTĪBA""",45,false,Evija Kolberga,Female,Riga,20,false
4,"Partija ""VIENOTĪBA""",46,false,Uldis Kolužs,Male,Zemgale,12,false
4,"Partija ""VIENOTĪBA""",47,false,Karina Korna,Female,Kurzeme,4,false
4,"Partija ""VIENOTĪBA""",48,true,Rihards Kozlovskis,Male,Riga,6,true
4,"Partija ""VIENOTĪBA""",49,false,Jānis Kupris,Male,Latgale,16,false
4,"Partija ""VIENOTĪBA""",50,false,Janīna Kursīte,Female,Latgale,8,false
4,"Partija ""VIENOTĪBA""",51,false,Sarmīte Ķikuste,Female,Latgale,7,false
4,"Partija ""VIENOTĪBA""",52,true,Vilnis Ķirsis,Male,Vidzeme,12,true
4,"Partija ""VIENOTĪBA""",53,false,Madars Lasmanis,Male,Zemgale,14,false
4,"Partija ""VIENOTĪBA""",54,true,Ainars Latkovskis,Male,Vidzeme,3,true
4,"Partija ""VIENOTĪBA""",55,false,Jānis Lazdāns,Male,Riga,24,false
4,"Partija ""VIENOTĪBA""",56,true,Atis Lejiņš,Male,Zemgale,5,true
4,"Partija ""VIENOTĪBA""",57,false,Liene Liepiņa,Female,Vidzeme,15,false
4,"Partija ""VIENOTĪBA""",58,false,Gatis Liepiņš,Male,Riga,18,false
4,"Partija ""VIENOTĪBA""",59,false,Krišjānis Liepiņš,Male,Riga,25,false
4,"Partija ""VIENOTĪBA""",60,true,Inese Lībiņa-Egnere,Female,Kurzeme,3,true
4,"Partija ""VIENOTĪBA""",61,false,Ainars Lodziņš,Male,Riga,34,false
4,"Partija ""VIENOTĪBA""",62,true,Aleksejs Loskutovs,Male,Riga,3,true
