Saraksts,Partija,Vards,Ievelets,Gender,Apgabals,Numurs,Gads,DarbaVieta,Amats,Ievelets
1,Jaunā VIENOTĪBA,Santa Survila,false,Female,Rīga,16,1969.0,"Latvijas miopātijas asociācija ""Sartorius""",valdes prezidente,false
1,Jaunā VIENOTĪBA,Ainārs Sviklis,false,Male,Zemgale,10,1965.0,Valsts izglītības satura centrs,Risinājumu attīstības vadītājs,false
1,Jaunā VIENOTĪBA,Kārlis Šadurskis,false,Male,Rīga,4,1959.0,Latvijas Republikas Saeima,deputāts,false
1,Jaunā VIENOTĪBA,Dace Šēle,false,Female,Kurzeme,10,1982.0,"Kuldīgas novada pašvaldības iestāde ""Kuldīgas attīstības aģentūra""",vadītāja,false
1,Jaunā VIENOTĪBA,Didzis Šēnbergs,false,Male,Vidzeme,28,1979.0,Publiskās atmiņas centrs,vēsturnieks,false
1,Jaunā VIENOTĪBA,Jānis Šiliņš,false,Male,Rīga,25,1984.0,Rīgas brīvostas pārvalde,Autotransporta administrators,false
1,Jaunā VIENOTĪBA,Artūrs Tjušs,false,Male,Latgale,13,1977.0,ZS Meža Grumuži,īpašnieks,false
1,Jaunā VIENOTĪBA,Barba Tuzika,false,Female,Rīga,20,1969.0,SIA Možums 1,Ārste,false
1,Jaunā VIENOTĪBA,Andris Valainis,false,Male,Latgale,15,1985.0,"SIA ""AGLYUNA MUNA SĀTA""",Valdes loceklis,false
1,Jaunā VIENOTĪBA,Toms Vāvere,false,Male,Rīga,21,1992.0,"VAS ""Latvijas Pasts""",Vecākais projektu vadītājs,false
1,Jaunā VIENOTĪBA,Ilze Vergina,false,Female,Vidzeme,6,1969.0,Smiltenes vidusskola,direktore,false
1,Jaunā VIENOTĪBA,Laura Vēverbrante,false,Female,Zemgale,15,1996.0,"Politiskā partija ""VIENOTĪBA""",Juriste,false
1,Jaunā VIENOTĪBA,Jaroslavs Volkovs,false,Male,Latgale,7,1982.0,"SIA ""Kind service""",valdes loceklis,false
1,Jaunā VIENOTĪBA,Atis Zakatistovs,false,Male,Latgale,8,1968.0,Latvijas Republikas Saeima,Deputāts,false
1,Jaunā VIENOTĪBA,Agita Zariņa-Stūre,true,Female,Vidzeme,8,1971.0,Valmieras Pārgaujas Valsts ģimnāzija,"direktore, skolotāja",true
1,Jaunā VIENOTĪBA,Jānis Zariņš,false,Male,Vidzeme,11,1996.0,Rīgas valstspilsētas pašvaldība,"Frakcijas ""Jaunā Vienotība"" galvenais referents",false
1,Jaunā VIENOTĪBA,Viesturs Zariņš,false,Male,Vidzeme,14,1979.0,"SIA ""KILN Estate""",Valdes loceklis,false
1,Jaunā VIENOTĪBA,Intars Zēns,false,Male,Kurzeme,13,1991.0,"SIA ""Coworking Liepaja""",Valdes priekšsēdētājs,false
1,Jaunā VIENOTĪBA,Baiba Ziedone-Jansone,false,Female,Vidzeme,18,1955.0,Uzņēmēja tūrisma nozarē,pašnodarbinātā,false
1,Jaunā VIENOTĪBA,Ilze Žūriņa-Davidčuka,false,Female,Vidzeme,16,1977.0,Limbažu Bērnu un jauniešu centrs,Direktore,false
2,"""Latvijas Krievu savienība""",Vladislavs Aleksandrovs,false,Male,Kurzeme,11,1974.0,CB Lighthoude Ltd,Direktors,false
2,"""Latvijas Krievu savienība""",Juris Aleksejevs,false,Male,Latgale,3,1996.0,SIA FRAVIA,Celtniecības speciālists,false
2,"""Latvijas Krievu savienība""",Vjačeslavs Altuhovs,false,Male,Rīga,23,1935.0,Latvijas Krievu sociālkulturālā biedrība,priekšsēdētājs,false
2,"""Latvijas Krievu savienība""",Tatjana Andrijeca,false,Female,Rīga,10,2000.0,Studente,,false
2,"""Latvijas Krievu savienība""",Valentīna Babaka,false,Female,Kurzeme,6,1976.0,Labdarības un kultūras centrs FENIKS,pasākumu organizators,false
2,"""Latvijas Krievu savienība""",Rasma Bārbale,false,Female,Rīga,35,1960.0,"Bērnu pirmsskolas izglītības iestāde ""Purpuri""",aukle,false
2,"""Latvijas Krievu savienība""",Jeļena Beskorovainaja,false,Female,Zemgale,6,1963.0,SIA „VELEXAUTO”,Biroja administratore,false
2,"""Latvijas Krievu savienība""",Aleksandrs Bērziņš,false,Male,Kurzeme,3,1988.0,Labdarības un kultūras centrs FENIKS,labdarības darbības koordinators,false
2,"""Latvijas Krievu savienība""",Artjoms Bobiļevs,false,Male,Latgale,10,1999.0,Pašnodarbināta persona,kurjers,false
2,"""Latvijas Krievu savienība""",Anna Bondere,false,Female,Vidzeme,4,1980.0,Vēsturiskā mantojuma fonds,Sekretāre - referente,false
2,"""Latvijas Krievu savienība""",Vladimirs Buzajevs,false,Male,Rīga,38,1951.0,Latvijas cilvēktiesību komiteja,Līdzpriekšsēdētājs,false
2,"""Latvijas Krievu savienība""",Vinsenta Daņiļceva,false,Female,Kurzeme,8,1983.0,Māksliniece,Māksliniece,false
2,"""Latvijas Krievu savienība""",Viktors Dergunovs,false,Male,Rīga,29,1951.0,SIA „Medserviss”,Ārsts anesteziologs,false
2,"""Latvijas Krievu savienība""",Inna Djeri,false,Female,Rīga,2,1978.0,Rīgas valstspilsētas pašvaldība,Domes deputāte,false
2,"""Latvijas Krievu savienība""",Filips Dudins,false,Male,Rīga,19,1982.0,Biedrība Barikāžu Dalībnieku Savienība,Valdes loceklis,false
2,"""Latvijas Krievu savienība""",Irina Dviļa,false,Female,Vidzeme,10,1984.0,SIA Ceļu Tīkli,biroja administratore,false
2,"""Latvijas Krievu savienība""",Tatjana Favorska,false,Female,Rīga,20,1947.0,Biedrība “Krievu Sabiedrība Latvijā”,Valdes priekšsēdētāja,false
2,"""Latvijas Krievu savienība""",Oļegs Fjodorovs,false,Male,Rīga,33,1972.0,"A/S ""Grindeks''",apdares darbu speciālists,false
2,"""Latvijas Krievu savienība""",Timurs Galihanovs,false,Male,Vidzeme,17,1981.0,IK TIMURS GALIHANOVS,autovadītājs,false
2,"""Latvijas Krievu savienība""",Maksims Galkins,false,Male,Zemgale,5,1978.0,IK Maksims Galkins,vadītājs,false
2,"""Latvijas Krievu savienība""",Aleksandrs Giļmans,false,Male,Rīga,37,1953.0,Latvijas Antinacistiskā Komiteja,Valdes loceklis,false
2,"""Latvijas Krievu savienība""",Igors Gladkovs,false,Male,Rīga,32,1997.0,"RKF SIA ""L.E.O""",elektromontāžas speciālista palīgs,false
2,"""Latvijas Krievu savienība""",Igors Glazunovs,false,Male,Kurzeme,2,1941.0,partijas LKS Liepāja teritoriālā organizācija,projektu vadītājs,false
2,"""Latvijas Krievu savienība""",Mihails Gončarovs,false,Male,Rīga,25,1975.0,Rīgas domes Īpašuma departaments,galvenais speciālists,false
2,"""Latvijas Krievu savienība""",Oļegs Gončarovs,false,Male,Latgale,15,1965.0,"Rīgas pašvaldības sabiedrība ar ierobežotu atbildību ""Rīgas satiksme""",Ritošā sastāva speciālists,false
2,"""Latvijas Krievu savienība""",Deniss Gorba,false,Male,Rīga,9,1970.0,"SIA “LCK juristi""",valdes loceklis,false
2,"""Latvijas Krievu savienība""",Normunds Grostiņš,false,Male,Rīga,3,1964.0,Latvijas Nākotnes Pētījumu Institūts,Valdes priekšsēdētājs,false
2,"""Latvijas Krievu savienība""",Viktors Guščins,false,Male,Zemgale,13,1958.0,BDR Latvijas Krievu kopiena,prezidents,false
2,"""Latvijas Krievu savienība""",Vladimirs Hodakovskis,false,Male,Rīga,30,1940.0,Starptautiskā Sakaru Akadēmija,Akadēmiķis,false
2,"""Latvijas Krievu savienība""",Deniss Ignatjevs,false,Male,Zemgale,9,1987.0,SIA „AVENIJA VP”,Menedžeris,false
2,"""Latvijas Krievu savienība""",Igors Iļjins,false,Male,Latgale,9,1958.0,Cilvēktiesību līgu starptautiskās federācijas Latvijas Cilvēktiesību komiteja,"Daugavpils nodaļas jurists, konsultants",false
2,"""Latvijas Krievu savienība""",Ņina Isačenkova,false,Female,Rīga,22,1951.0,Kultūras centrs “Vertman”,direktore,false
2,"""Latvijas Krievu savienība""",Oļegs Ivanovs,false,Male,Kurzeme,9,1985.0,Pašnodarbinātā persona,automehāniķis,false
2,"""Latvijas Krievu savienība""",Ilona Jakovele,false,Female,Vidzeme,11,1986.0,ONAP Olaines sociālais dienests Higiēnas centrs,sociāla darbiniece,false
2,"""Latvijas Krievu savienība""",Tatjana Jemeļjanova,false,Female,Rīga,31,1954.0,Biedrība Latvijas denacionalizēto un municipālo māju īrnieku un dzīvokļu īpašnieku asociācija,valdes locekle,false
2,"""Latvijas Krievu savienība""",Voldemārs Jeromans,false,Male,Zemgale,11,1963.0,Pašnodarbināta persona,Celtnieks,false
2,"""Latvijas Krievu savienība""",Natālija Jolkina,false,Female,Rīga,8,1947.0,CLSF Latvijas cilvēktiesību komiteja,Līdzpriekšsēdētāja,false
2,"""Latvijas Krievu savienība""",Viktors Jolkins,false,Male,Rīga,21,1976.0,Eiropas Parlamets,Eiropas Parlamenta deputātes palīgs,false
2,"""Latvijas Krievu savienība""",Ņina Kaplāne,false,Female,Rīga,12,1994.0,SIA “Biuro”,Finanšu analītiķis,false
2,"""Latvijas Krievu savienība""",Aleksandrs Klapins,false,Male,Vidzeme,3,1965.0,A/S Valmieras Stikla Šķiedra,Mehatronikas inženieris,false
2,"""Latvijas Krievu savienība""",Pēteris Koškins,false,Male,Vidzeme,13,1976.0,SIA Industrial Smart Solution,Celtnieks,false
2,"""Latvijas Krievu savienība""",Aleksejs Kovaļevskis,false,Male,Vidzeme,19,1971.0,SIA Vedic Institute of Healthcare and Research,valdes loceklis,false
2,"""Latvijas Krievu savienība""",Valentīna Kudrjavceva,false,Female,Zemgale,4,1967.0,SIA Edelīna AG,Valdes loceklis,false
2,"""Latvijas Krievu savienība""",Aleksejs Kurepins,false,Male,Rīga,34,1988.0,"SIA ""Kavis""",operators,false
2,"""Latvijas Krievu savienība""",Karīna Larionova,false,Female,Vidzeme,12,1986.0,SIA Apotheka,Farmaceita asistente,false
2,"""Latvijas Krievu savienība""",Andrejs Larionovs,false,Male,Latgale,8,1971.0,"Asociācija ""Latvijas černobiliešu savienība""",valdes loceklis,false
2,"""Latvijas Krievu savienība""",Sergejs Lavrenovs,false,Male,Latgale,12,1966.0,partijas LKS Daugavpils teritoriāla organizācijā,projektu koordinators,false
2,"""Latvijas Krievu savienība""",Andrejs Lukaševics,false,Male,Vidzeme,9,1982.0,"VAS «LDZ», EPR-1,EPED-1",Energodispečeris,false
2,"""Latvijas Krievu savienība""",Nataļja Ļebedeva,false,Female,Rīga,17,1959.0,Avīze Segodņa,žurnālistie,false
2,"""Latvijas Krievu savienība""",Anatolijs Ļitvinovs,false,Male,Zemgale,12,1946.0,NVO RETRO Jelgava,vadītājs,false
2,"""Latvijas Krievu savienība""",Julianna Matašova,false,Female,Vidzeme,15,1981.0,SIA MedProf,tirgvedības vadītājs,false
2,"""Latvijas Krievu savienība""",Tamāra Meļņikova,false,Female,Vidzeme,6,1969.0,Pašnodarbināta persona,Jurists,false
2,"""Latvijas Krievu savienība""",Igors Meļņikovs,false,Male,Rīga,5,1969.0,Pašnodarbināta persona,Jurists,false
2,"""Latvijas Krievu savienība""",Jekaterina Mitrofanova,false,Female,Rīga,14,1997.0,Eiropas Parlaments,Eiropas Parlamenta deputātes palīdze,false
2,"""Latvijas Krievu savienība""",Miroslavs Mitrofanovs,false,Male,Rīga,1,1966.0,Partija Latvijas Krievu savienība,Līdzpriekšsēdētājs,false
