Saraksts,Partija,Numurs,Vards,Apgabals,Rangs
4,"Partija ""VIENOTĪBA""",84,Edgars Rinkēvičs,Riga,1
4,"Partija ""VIENOTĪBA""",85,Armīns Robežnieks,Kurzeme,7
4,"Partija ""VIENOTĪBA""",86,Uģis Rotbergs,Riga,11
4,"Partija ""VIENOTĪBA""",87,Gita Rūtiņa,Zemgale,13
4,"Partija ""VIENOTĪBA""",88,Ansis Saliņš,Zemgale,9
4,"Partija ""VIENOTĪBA""",89,Evika Siliņa,Zemgale,10
4,"Partija ""VIENOTĪBA""",90,Aivars Siliņš,Riga,26
4,"Partija ""VIENOTĪBA""",91,Edvards Smiltēns,Vidzeme,9
4,"Partija ""VIENOTĪBA""",92,Vasilijs Smuļs,Latgale,13
4,"Partija ""VIENOTĪBA""",93,Kintija Sparāne,Vidzeme,20
4,"Partija ""VIENOTĪBA""",94,Veiko Spolītis,Riga,14
4,"Partija ""VIENOTĪBA""",95,Viktors Stikuts,Latgale,6
4,"Partija ""VIENOTĪBA""",96,Guntis Stirna,Riga,35
4,"Partija ""VIENOTĪBA""",97,Laimdota Straujuma,Vidzeme,1
4,"Partija ""VIENOTĪBA""",98,Kārlis Strēlis,Riga,15
4,"Partija ""VIENOTĪBA""",99,Ainārs Sviklis,Zemgale,15
4,"Partija ""VIENOTĪBA""",100,Kārlis Šadurskis,Vidzeme,5
4,"Partija ""VIENOTĪBA""",101,Arnis Šķēls,Vidzeme,23
4,"Partija ""VIENOTĪBA""",102,Juris Šulcs,Zemgale,2
4,"Partija ""VIENOTĪBA""",103,Vija Tirzmale,Riga,28
4,"Partija ""VIENOTĪBA""",104,Normunds Tropiņš,Kurzeme,5
4,"Partija ""VIENOTĪBA""",105,Andris Ulāns,Zemgale,16
4,"Partija ""VIENOTĪBA""",106,Maija Upeniece,Latgale,9
4,"Partija ""VIENOTĪBA""",107,Jānis Upenieks,Vidzeme,16
4,"Partija ""VIENOTĪBA""",108,Viktors Valainis,Zemgale,4
4,"Partija ""VIENOTĪBA""",109,Māris Vārna,Kurzeme,9
4,"Partija ""VIENOTĪBA""",110,Ilze Vergina,Vidzeme,13
4,"Partija ""VIENOTĪBA""",111,Juris Galerijs Vidiņš,Latgale,11
4,"Partija ""VIENOTĪBA""",112,Kaspars Vidiņš,Latgale,17
4,"Partija ""VIENOTĪBA""",113,Ilze Viņķele,Riga,7
4,"Partija ""VIENOTĪBA""",114,Dzintars Zaķis,Latgale,3
4,"Partija ""VIENOTĪBA""",115,Mikus Žagata,Kurzeme,12
5,"""POLITISKĀ PARTIJA IZAUGSME""",1,Dina Balode,Kurzeme,3
5,"""POLITISKĀ PARTIJA IZAUGSME""",2,Natālija Bērza,Riga,9
5,"""POLITISKĀ PARTIJA IZAUGSME""",3,Gaida Bērziņa,Vidzeme,5
5,"""POLITISKĀ PARTIJA IZAUGSME""",4,Aldis Bondars,Vidzeme,3
5,"""POLITISKĀ PARTIJA IZAUGSME""",5,Rinalds Brālis,Riga,7
5,"""POLITISKĀ PARTIJA IZAUGSME""",6,Artūrs Čačka,Vidzeme,19
5,"""POLITISKĀ PARTIJA IZAUGSME""",7,Ainis Dzalbs,Zemgale,4
5,"""POLITISKĀ PARTIJA IZAUGSME""",8,Velga Eklona,Riga,4
5,"""POLITISKĀ PARTIJA IZAUGSME""",9,Normunds Eliņš,Vidzeme,18
5,"""POLITISKĀ PARTIJA IZAUGSME""",10,Indra Garsele,Vidzeme,4
5,"""POLITISKĀ PARTIJA IZAUGSME""",11,Sandra Gintere,Riga,2
5,"""POLITISKĀ PARTIJA IZAUGSME""",12,Dace Jakovicka,Kurzeme,2
5,"""POLITISKĀ PARTIJA IZAUGSME""",13,Aija Jaunmuktāne,Zemgale,1
5,"""POLITISKĀ PARTIJA IZAUGSME""",14,Uldis Kasemirs,Zemgale,2
5,"""POLITISKĀ PARTIJA IZAUGSME""",15,Roberts Kuzņerevičs,Latgale,1
5,"""POLITISKĀ PARTIJA IZAUGSME""",16,Egita Ķeive,Vidzeme,10
5,"""POLITISKĀ PARTIJA IZAUGSME""",17,Gints Lapsa,Vidzeme,17
5,"""POLITISKĀ PARTIJA IZAUGSME""",18,Lelde Mangusa-Tutāne,Vidzeme,2
5,"""POLITISKĀ PARTIJA IZAUGSME""",19,Mudīte Meliņa,Riga,8
5,"""POLITISKĀ PARTIJA IZAUGSME""",20,Andis Onzuls,Zemgale,3
5,"""POLITISKĀ PARTIJA IZAUGSME""",21,Ilze Oša,Vidzeme,16
5,"""POLITISKĀ PARTIJA IZAUGSME""",22,Evita Paidere,Vidzeme,13
5,"""POLITISKĀ PARTIJA IZAUGSME""",23,Maija Radziņa,Riga,1
5,"""POLITISKĀ PARTIJA IZAUGSME""",24,Dairis Roģis,Vidzeme,15
