Apgabals,Struktūrvienība,Party,Name,Gender,Number,Pluses,Minuses
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Kristīne Gecko,Female,21,77,161
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Renāte Indrika,Female,22,207,122
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Anna Bergmane,Female,23,87,160
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Kristīne Ābele,Female,24,101,146
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Ināra Šatkovska,Female,25,97,187
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Mairis Austriņš,Male,26,86,197
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Aldis Fokrots,Male,27,82,180
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Artjoms Trojanovs,Male,28,76,215
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Ģirts Bērzapāns,Male,29,75,197
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Ivo Malcenieks,Male,30,81,198
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Paula Minusa,Female,31,106,199
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Jana Kļaviņa,Female,32,80,209
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Lauris Bočs,Male,33,124,195
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Kristaps Dubults,Male,34,102,207
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Jūlija Stepaņenko,Female,1,9471,49
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Aleksejs Stetjuha,Male,2,3366,174
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Vladislava Drobiševa,Female,3,1923,139
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Poļina Rožkova,Female,4,1343,126
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Aleksejs Vinogradskis,Male,5,1217,126
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Olga Veidiņa,Female,6,1164,128
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Andrejs Jakovļevs,Male,7,1174,136
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Aleksandra Cimbale,Female,8,1030,134
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Mihails Černousovs,Male,9,1319,125
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Tatjana Pečurina,Female,10,1104,133
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Andris Bērziņš,Male,11,1073,150
Riga,Rīga,"5. ""SUVERĒNĀ VARA""",Alise Lake Sandri,Female,12,926,167
