Apgabals,Struktūrvienība,Party,Name,Gender,Number,Pluses,Minuses
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Krists Bergmanis,Male,15,1395,1405
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Ēriks Pucens,Male,1,575,69
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Egils Gusts,Male,2,225,62
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Ilona Lielmane,Female,3,210,60
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Agnese Ziediņa,Female,4,207,73
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Edgars Lielmanis,Male,5,177,60
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Inga Zirka,Female,6,182,62
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Ginta Bukāte,Female,7,194,64
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Inese Ozoliņa,Female,8,170,65
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Anda Stiba,Female,9,180,64
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Valdis Grīnfogels,Male,10,173,52
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Matīss Krēže,Male,11,156,72
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Oskars Straume,Male,12,155,80
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Līga Leikarte,Female,13,138,71
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Māra Kūriņa,Female,14,136,65
Kurzeme,Kurzeme,"19. Politiskā partija ""Republika""",Uldis Ozoliņš,Male,15,180,70
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Arvils Ašeradens,Male,1,781,260
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Inga Bērziņa,Female,2,316,168
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Guntars Račs,Male,3,486,621
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Kārlis Strautiņš,Male,4,462,195
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Ģirts Valdis Kristovskis,Male,5,460,353
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Ingrīda Circene,Female,6,578,344
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Jānis Grahoļskis,Male,7,71,178
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Inna Kislina,Female,8,75,214
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Andis Bāliņš,Male,9,87,189
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Dace Šēle,Female,10,106,174
Kurzeme,Liepāja,1. Jaunā VIENOTĪBA,Andris Jefimovs,Male,11,111,241
