Apgabals,Struktūrvienība,Party,Name,Number,Pluses,Minuses
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Anželika Molotanova,10,330,231
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Aivars Molotanovs,11,316,213
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Eduards Zivtiņš,12,644,155
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Aljeta Erdmane,13,285,172
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Andris Baumanis,14,311,160
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Gatis Rozenfelds,15,440,152
Kurzeme,Kurzeme,13. Konservatīvie,Krišjānis Feldmans,1,1113,97
Kurzeme,Kurzeme,13. Konservatīvie,Uldis Budriķis,2,419,122
Kurzeme,Kurzeme,13. Konservatīvie,Santa Suhaka,3,261,149
Kurzeme,Kurzeme,13. Konservatīvie,Bruno Jurševics,4,351,161
Kurzeme,Kurzeme,13. Konservatīvie,Romāns Ernsons,5,369,142
Kurzeme,Kurzeme,13. Konservatīvie,Juris Orinskis,6,209,150
Kurzeme,Kurzeme,13. Konservatīvie,Ivo Tikums,7,247,126
Kurzeme,Kurzeme,13. Konservatīvie,Maira Kutuļska,8,205,141
Kurzeme,Kurzeme,13. Konservatīvie,Evita Pētersone,9,295,142
Kurzeme,Kurzeme,13. Konservatīvie,Anželika Jurševica,10,231,180
Kurzeme,Kurzeme,13. Konservatīvie,Andris Saulītis,11,234,131
Kurzeme,Kurzeme,13. Konservatīvie,Elena Blumberga,12,182,143
Kurzeme,Kurzeme,13. Konservatīvie,Kristers Andersons,13,217,121
Kurzeme,Kurzeme,13. Konservatīvie,Mārtiņš Štāls,14,221,131
Kurzeme,Kurzeme,13. Konservatīvie,Sandis Pūce,15,274,147
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Agris Freifalts,1,866,63
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Lāsma Skrābe,2,606,87
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Aiva Daukša,3,520,91
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Normunds Skrābe,4,530,94
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Evija Kārkliņa,5,474,81
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Jana Sietiņa,6,426,73
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Laura Kontrauska,7,397,88
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Inga Antensone,8,429,71
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Romunds Brālis,9,504,74
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Eleonora Grigāne,10,382,78
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Roberts Brīvlauks,11,413,64
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Kristers Niklāvs Koškins,12,417,92
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Inga Lazarenoka,13,410,86
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Raivis Fricsons,14,418,65
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Ivars Vinters,15,468,55
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Liene Gātere,1,887,190
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Edgars Zelderis,2,1217,210
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Miroslavs Kodis,3,438,286
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Marta Kraujiņa,4,374,234
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Ilva Norenberga,5,742,188
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Lauris Pīlēģis,6,622,201
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Ginta Ernštreite,7,290,243
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Kalvis Kalniņš,8,540,213
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Dāvis Lodziņš,9,370,174
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Sintija Ozoliņa,10,402,183
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Niks Derums,11,362,214
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Katrīna Vītola,12,323,184
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Māris Meldris,13,263,191
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Jurģis Kūliņš,14,249,219
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Andris Diržininks,15,248,227
Kurzeme,Kurzeme,16. Attīstībai/Par!,Kristaps Eklons,1,787,138
Kurzeme,Kurzeme,16. Attīstībai/Par!,Dace Bluķe,2,371,170
Kurzeme,Kurzeme,16. Attīstībai/Par!,Ainārs Dimants,3,289,181
Kurzeme,Kurzeme,16. Attīstībai/Par!,Uldis Zupa,4,308,184
Kurzeme,Kurzeme,16. Attīstībai/Par!,Ģirts Jankovskis,5,239,172
